surface	normalized	reading	partOfSpeech	type	count	sources
未指定	未指定	ミシテイ	名詞,普通名詞,一般	japanese	7	Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; README.md:1; Tracker/Design/tasks-status.md:1
見出し	見出し	ミダシ	名詞,普通名詞,一般	japanese	7	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1; feedback-points/feedback-points.md:1
以前	以前	イゼン	名詞,普通名詞,副詞可能	japanese	6	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6
環境	環境	カンキョウ	名詞,普通名詞,一般	japanese	6	Tracker/Tracker.DebugHost/README.md:4; AGENTS.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
規模	規模	キボ	名詞,普通名詞,一般	japanese	6	Tracker/Design/tasks-status.md:4; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1
脚注	脚注	キャクチュウ	名詞,普通名詞,一般	japanese	6	tools/lint/README.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
近接	近接	キンセツ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Tracker.DebugHost/README.md:1
駆動	駆動	クドウ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/tasks-status.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
経過	経過	ケイカ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2
系列	系列	ケイレツ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
決定的	決定的	ケッテイテキ	名詞,普通名詞,形状詞可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Core/tracker-history-000-038.md:1
公式	公式	コウシキ	名詞,普通名詞,形状詞可能	japanese	6	Tracker/Design/tasks-status.md:6
個別	個別	コベツ	名詞,普通名詞,形状詞可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:5; tools/lint/README.md:1
今回	今回	コンカイ	名詞,普通名詞,副詞可能	japanese	6	Tracker/Design/RuntimeHost/runtime-host-plan.md:2; AGENTS.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/tasks-status.md:1
最初	最初	サイショ	名詞,普通名詞,副詞可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
座標	座標	ザヒョウ	名詞,普通名詞,一般	japanese	6	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:1
閾値	閾値	シキイチ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
集計	集計	シュウケイ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
収集	収集	シュウシュウ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Core/tracker-core-engine-detail-design.md:2; tools/lint/README.md:2; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
省略	省略	ショウリャク	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1
上記	上記	ジョウキ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
状況	状況	ジョウキョウ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/phases-status.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/tasks-status.md:1
スキップ	スキップ	スキップ	名詞,普通名詞,サ変可能	katakana	6	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Tracker.DebugHost/README.md:1
寸法	寸法	スンポウ	名詞,普通名詞,一般	japanese	6	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1
接触者	接触者	セッショクシャ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:6
線形	線形	センケイ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-history-000-038.md:3
選択肢	選択肢	センタクシ	名詞,普通名詞,一般	japanese	6	Tracker/Design/tasks-status.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
退避	退避	タイヒ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
直後	直後	チョクゴ	名詞,普通名詞,副詞可能	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
低速	低速	テイソク	名詞,普通名詞,一般	japanese	6	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1
到達	到達	トウタツ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
同名	同名	ドウメイ	名詞,普通名詞,一般	japanese	6	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1
内包	内包	ナイホウ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/tasks-status.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
フェーズ	フェーズ	フェーズ	名詞,普通名詞,一般	katakana	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-history-000-038.md:3
不足	不足	フソク	名詞,普通名詞,サ変形状詞可能	japanese	6	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; AGENTS.md:1; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
方向	方向	ホウコウ	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3
保留	保留	ホリュウ	名詞,普通名詞,サ変可能	japanese	6	Tracker/Design/tasks-status.md:5; Tracker/Design/Archive/Core/phases-status.md:1
本番	本番	ホンバン	名詞,普通名詞,一般	japanese	6	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/phases-status.md:1
リスク	リスク	リスク	名詞,普通名詞,一般	katakana	6	Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
アルゴリズム	アルゴリズム	アルゴリズム	名詞,普通名詞,一般	katakana	5	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
以外	以外	イガイ	名詞,普通名詞,副詞可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; feedback-points/feedback-points.md:1
一時的	一時的	イチジテキ	名詞,普通名詞,形状詞可能	japanese	5	Tracker/Tracker.DebugHost/README.md:5
色分け	色分け	イロワケ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5
解析	解析	カイセキ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
空間	空間	クウカン	名詞,普通名詞,一般	japanese	5	Tracker/Design/tasks-status.md:5
区切り	区切り	クギリ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; tools/lint/README.md:1
区別	区別	クベツ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
軽量化	軽量化	ケイリョウカ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
減衰	減衰	ゲンスイ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.DebugHost/README.md:2
周辺	周辺	シュウヘン	名詞,普通名詞,一般	japanese	5	Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; README.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
衝突	衝突	ショウトツ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2
承認	承認	ショウニン	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
時刻系	時刻系	ジコクケイ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:1
実効	実効	ジッコウ	名詞,普通名詞,一般	japanese	5	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5
推奨	推奨	スイショウ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
成立	成立	セイリツ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
全般	全般	ゼンパン	名詞,普通名詞,一般	japanese	5	Tracker/Design/tasks-status.md:3; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
想定	想定	ソウテイ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
束縛	束縛	ソクバク	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2
増加	増加	ゾウカ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:5
対応表	対応表	タイオウヒョウ	名詞,普通名詞,一般	japanese	5	Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
退出	退出	タイシュツ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
高さ	高さ	タカサ	名詞,普通名詞,一般	japanese	5	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
短時間	短時間	タンジカン	名詞,普通名詞,副詞可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/tasks-status.md:1
追補	追補	ツイホ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
使い方	使い方	ツカイカタ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-history-000-038.md:3; AGENTS.md:1; Tracker/Tracker.DebugHost/README.md:1
手元	手元	テモト	名詞,普通名詞,一般	japanese	5	Tracker/Tracker.DebugHost/README.md:2; tools/lint/README.md:2; Tracker/Design/tasks-status.md:1
点検	点検	テンケン	名詞,普通名詞,サ変可能	japanese	5	tools/lint/README.md:3; feedback-points/feedback-points.md:2
投影	投影	トウエイ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
投入	投入	トウニュウ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1
内外	内外	ナイガイ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:5
派生	派生	ハセイ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/tasks-status.md:1
破損	破損	ハソン	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2
汎用	汎用	ハンヨウ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/phases-status.md:1
付近	付近	フキン	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
報告書	報告書	ホウコクショ	名詞,普通名詞,一般	japanese	5	feedback-points/feedback-points.md:3; tools/lint/README.md:2
ボタン	ボタン	ボタン	名詞,普通名詞,一般	katakana	5	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Tracker.DebugHost/README.md:1
命名	命名	メイメイ	名詞,普通名詞,サ変可能	japanese	5	Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
用途	用途	ヨウト	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1
呼び出し	呼び出し	ヨビダシ	名詞,普通名詞,一般	japanese	5	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
理由	理由	リユウ	名詞,普通名詞,一般	japanese	5	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; tools/lint/README.md:1
宛先	宛て先	アテサキ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
案内	案内	アンナイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Archive/DebugHost/tasks-status.md:4
育成	育成	イクセイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:4
以後	以後	イゴ	名詞,普通名詞,副詞可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
一時保存	一時保存	イチジホゾン	名詞,普通名詞,一般	japanese	4	AGENTS.md:3; tools/lint/README.md:1
意図的	意図的	イトテキ	名詞,普通名詞,形状詞可能	japanese	4	Tracker/Design/tasks-status.md:2; Tracker/Design/phases-status.md:1; Tracker/Tracker.DebugHost/README.md:1
永続化	永続化	エイゾクカ	名詞,普通名詞,一般	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
回数	回数	カイスウ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; feedback-points/feedback-points.md:1
改名	改名	カイメイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/tasks-status.md:3; Tracker/Design/phases-status.md:1
可能性	可能性	カノウセイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1
可否	可否	カヒ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
概要	概要	ガイヨウ	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:4
期待	期待	キタイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
基盤	基盤	キバン	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:2
組み立て	組み立て	クミタテ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/tasks-status.md:1
形態素	形態素	ケイタイソ	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:2; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
決定	決定	ケッテイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
公開中	公開中	コウカイチュウ	名詞,普通名詞,一般	japanese	4	Tracker/Design/phases-status.md:2; Tracker/Design/tasks-status.md:2
小刻み	小刻み	コキザミ	名詞,普通名詞,形状詞可能	japanese	4	Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
コスト	コスト	コスト	名詞,普通名詞,一般	katakana	4	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
根拠	根拠	コンキョ	名詞,普通名詞,一般	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; feedback-points/feedback-points.md:1
混在	混在	コンザイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; tools/lint/README.md:1
互換性	互換性	ゴカンセイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/tasks-status.md:1
最大	最大	サイダイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.CaptureReplay/README.md:1
再読	再読	サイドク	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
実時	実時	サネトキ	名詞,固有名詞,人名,名	japanese	4	Tracker/Design/tasks-status.md:4
識別子	識別子	シキベツシ	名詞,普通名詞,一般	japanese	4	tools/lint/README.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; feedback-points/feedback-points.md:1
集約	集約	シュウヤク	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2
瞬間移動	瞬間移動	シュンカンイドウ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
昇格	昇格	ショウカク	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2
初期値	初期値	ショキチ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.DebugHost/README.md:1
所有	所有	ショユウ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/tasks-status.md:4
進行中	進行中	シンコウチュウ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/Archive/DebugHost/phases-status.md:1
振動	振動	シンドウ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-history-000-038.md:4
自身	自身	ジシン	名詞,普通名詞,副詞可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
スクロール	スクロール	スクロール	名詞,普通名詞,サ変可能	katakana	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
正規	正規	セイキ	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:2; tools/lint/README.md:2
正規化	正規化	セイキカ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
精度	精度	セイド	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1
選定	選定	センテイ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:2
相対	相対	ソウタイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
短命	短命	タンメイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1
題名	題名	ダイメイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:4
逐次	逐次	チクジ	名詞,普通名詞,副詞可能	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
程度	程度	テイド	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
適合	適合	テキゴウ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/tasks-status.md:4
同値	同値	ドウチ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
導入	導入	ドウニュウ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/tasks-status.md:2; Tracker/Design/phases-status.md:1; Tracker/Tracker.DebugHost/README.md:1
残り	残り	ノコリ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/phases-status.md:1
破壊的	破壊的	ハカイテキ	名詞,普通名詞,形状詞可能	japanese	4	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1
半径	半径	ハンケイ	名詞,普通名詞,一般	japanese	4	Tracker/Design/Core/tracker-architecture-plan.md:4
非対応	非対応	ヒタイオウ	名詞,普通名詞,一般	japanese	4	Tracker/Design/tasks-status.md:4
負荷	負荷	フカ	名詞,普通名詞,サ変可能	japanese	4	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/tasks-status.md:1
複雑	複雑	フクザツ	名詞,普通名詞,形状詞可能	japanese	4	Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
不具合	不具合	フグアイ	名詞,普通名詞,形状詞可能	japanese	4	Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
