surface	normalized	reading	partOfSpeech	type	count	sources
出力	出力	シュツリョク	名詞,普通名詞,サ変可能	japanese	83	Tracker/Design/Core/tracker-architecture-plan.md:25; Tracker/Tracker.DebugHost/README.md:14; Tracker/Design/Core/tracker-history-000-038.md:8; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/tasks-status.md:7; Tracker/Design/Core/tracker-core-engine-detail-design.md:6; Tracker/Tracker.CaptureReplay/README.md:5; Tracker/Design/Archive/Core/tasks-status.md:3; tools/lint/README.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/phases-status.md:1
維持	維持	イジ	名詞,普通名詞,サ変可能	japanese	77	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:27; Tracker/Design/Core/tracker-core-engine-detail-design.md:13; Tracker/Design/Core/tracker-architecture-plan.md:11; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Archive/Core/tasks-status.md:4; Tracker/Design/tasks-status.md:4; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
起動	起動	キドウ	名詞,普通名詞,サ変可能	japanese	77	Tracker/Tracker.DebugHost/README.md:23; Tracker/Design/tasks-status.md:17; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:10; Tracker/Design/Core/tracker-architecture-plan.md:7; README.md:6; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/phases-status.md:1
契約	契約	ケイヤク	名詞,普通名詞,サ変可能	japanese	76	Tracker/Design/Core/tracker-architecture-plan.md:17; Tracker/Design/tasks-status.md:17; Tracker/Design/Core/tracker-history-000-038.md:12; Tracker/Design/Archive/DebugHost/tasks-status.md:8; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/DebugHost/debug-host-maintainability-design.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/phases-status.md:2; README.md:1
追跡	追跡	ツイセキ	名詞,普通名詞,サ変可能	japanese	75	Tracker/Design/tasks-status.md:36; Tracker/Design/Core/tracker-architecture-plan.md:18; Tracker/Design/Archive/Core/tasks-status.md:13; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/phases-status.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-history-000-038.md:1
変更	変更	ヘンコウ	名詞,普通名詞,サ変可能	japanese	73	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:18; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:11; Tracker/Design/Core/tracker-core-engine-detail-design.md:9; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Tracker.DebugHost/README.md:3; tools/lint/README.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/tasks-status.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
描画	描画	ビョウガ	名詞,普通名詞,サ変可能	japanese	71	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:22; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:15; Tracker/Design/tasks-status.md:12; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Tracker.DebugHost/README.md:7; Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2
文書	文書	ブンショ	名詞,普通名詞,一般	japanese	70	Tracker/Design/tasks-status.md:21; tools/lint/README.md:21; Tracker/Design/phases-status.md:10; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:5; Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; feedback-points/feedback-points.md:1
証跡	証跡	ショウセキ	名詞,普通名詞,一般	japanese	67	Tracker/Design/tasks-status.md:42; Tracker/Design/Core/tracker-history-000-038.md:6; Tracker/Design/Archive/Core/tasks-status.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/phases-status.md:3; Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; AGENTS.md:1; README.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Tracker.DebugHost/README.md:1
対応	対応	タイオウ	名詞,普通名詞,サ変可能	japanese	67	Tracker/Design/Core/tracker-architecture-plan.md:24; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:21; Tracker/Tracker.DebugHost/README.md:9; feedback-points/feedback-points.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
保持	保持	ホジ	名詞,普通名詞,サ変可能	japanese	65	Tracker/Design/Core/tracker-architecture-plan.md:28; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:19; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:8; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
入力	入力	ニュウリョク	名詞,普通名詞,サ変可能	japanese	64	Tracker/Design/Core/tracker-architecture-plan.md:25; Tracker/Design/tasks-status.md:15; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1
分離	分離	ブンリ	名詞,普通名詞,サ変可能	japanese	64	Tracker/Design/tasks-status.md:17; Tracker/Design/Core/tracker-architecture-plan.md:13; Tracker/Design/Core/tracker-core-engine-detail-design.md:9; Tracker/Design/Archive/DebugHost/tasks-status.md:7; Tracker/Design/DebugHost/debug-host-maintainability-design.md:4; Tracker/Design/Archive/Core/tasks-status.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/phases-status.md:1
参照	参照	サンショウ	名詞,普通名詞,サ変可能	japanese	63	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:15; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/tasks-status.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:7; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; AGENTS.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Tracker.DebugHost/README.md:2; tools/lint/README.md:2; README.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
失敗	失敗	シッパイ	名詞,普通名詞,サ変可能	japanese	62	Tracker/Design/tasks-status.md:33; Tracker/Tracker.DebugHost/README.md:7; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/phases-status.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; tools/lint/README.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1
分割	分割	ブンカツ	名詞,普通名詞,サ変可能	japanese	61	Tracker/Design/Core/tracker-core-engine-detail-design.md:16; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:14; Tracker/Design/Core/tracker-history-000-038.md:10; Tracker/Design/Archive/DebugHost/tasks-status.md:7; Tracker/Design/DebugHost/debug-host-maintainability-design.md:7; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2
